eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
,,376000,,,,,,,296,2.7685716112588517e-12,2.9091609507030936,7849,1000.0,702200,151.58091348,151.6,546,25717,14,15952,0.0003,14.689335,2.9091609507030936,376,0.26577005,0.0009721871
,,380000,,,,,,,299,2.623482145104681e-12,3.730904406835248,7944,1000.0,710200,151.55753133,151.6,552,26010,14,16141,0.0003,14.715654,3.730904406835248,380,0.2978138,0.0010956282
150.5155090909091,23,380001,1000.0,2.7878434132780656,32.58800347549484,2.7960575,14.613183,153.5,,,,,,,,,,,,,,,,,,
,,384000,,,,,,,303,2.5865527593128696e-12,3.4684781691609325,8034,1000.0,718200,151.51493756999997,151.5,558,26333,14,16339,0.0003,14.949187,3.4684781691609325,384,0.26948383,0.0011379531
,,388000,,,,,,,306,2.6118458069165624e-12,2.883986388347686,8121,1000.0,726200,151.68480459,151.7,563,26623,14,16531,0.0003,14.975936,2.883986388347686,388,0.28934866,0.0010601014
150.60788636363637,23,390001,1000.0,3.0869279748507976,33.25139195613944,3.0964658,14.855828,152.4,,,,,,,,,,,,,,,,,,
,,392000,,,,,,,309,2.6865163959256032e-12,3.1073996725691932,8209,1000.0,734200,151.45315498999997,151.5,569,26937,14,16722,0.0003,14.68859,3.1073996725691932,392,0.25526112,0.0008220274
,,396000,,,,,,,313,2.6704160900986335e-12,3.4789941800252726,8300,1000.0,742200,151.46746319,151.5,575,27236,14,16919,0.0003,15.073906,3.4789941800252726,396,0.30433068,0.0013043693
,,400000,,,,,,,316,2.4973894227570923e-12,2.9975865172429987,8388,1000.0,750200,151.39423851,151.4,581,27529,14,17113,0.0003,14.893363,2.9975865172429987,400,0.28761396,0.0010940392
151.6207707272727,23,400001,1000.0,2.8135611476862397,32.7661391167369,2.8258672,14.731791,151.5,,,,,,,,,,,,,,,,,,
