eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,,,316000,,,136.60038823,2.7544240806565105e-12,455,12997,316,0.0003,1000.0,3.1270437072811994,15,3.1270437072811994,6417,21038,255,136.6,582200,13.893888,0.0017033645,0.38088417
,,,,,,320000,,,136.90913336,2.7002093539641745e-12,461,13194,320,0.0003,1000.0,3.508071470890949,14,3.508071470890949,6504,21334,258,136.9,590200,13.872297,0.0016211863,0.5048418
1000.0,2.803064524494806,24,141.1,146.75775772727272,33.18515476559102,320001,14.193509,2.8117652,,,,,,,,,,,,,,,,,,
,,,,,,324000,,,137.12868394,2.6371841137325082e-12,467,13384,324,0.0003,1000.0,3.2642344861785464,14,3.2642344861785464,6594,21651,262,137.1,598200,13.854955,0.0017837848,0.4347049
,,,,,,328000,,,137.54427939000004,2.5545190461067207e-12,472,13586,328,0.0003,1000.0,3.199406911919947,14,3.199406911919947,6684,21953,265,137.5,606200,14.303532,0.0015388308,0.3863675
1000.0,2.9363601886427046,24,141.6,141.99402563636366,33.34171972404493,330001,13.834933,2.9423707,,,,,,,,,,,,,,,,,,
,,,,,,332000,,,137.62456197000003,2.7794182311466176e-12,478,13782,332,0.0003,1000.0,3.2395827882142947,14,3.2395827882142947,6774,22275,269,137.6,614200,13.710178,0.0015576946,0.4188658
,,,,,,336000,,,137.78077481000003,2.4780428340669462e-12,484,13973,336,0.0003,1000.0,3.284283854314961,14,3.284283854314961,6861,22564,272,137.8,622200,14.548728,0.0014010887,0.32682595
,,,,,,340000,,,138.01391271,2.591880061806213e-12,490,14172,340,0.0003,1000.0,3.3588857994525445,14,3.3588857994525445,6950,22863,276,138.0,630200,14.476067,0.0013646192,0.37707695
1000.0,3.075469160623094,23,142.0,141.95792009090908,32.61175616800244,340001,14.042697,3.0766191,,,,,,,,,,,,,,,,,,
,,,,,,344000,,,138.27491532,2.4838186574356738e-12,496,14363,344,0.0003,1000.0,3.247173661556768,14,3.247173661556768,7038,23177,279,138.3,638200,14.586599,0.0010928264,0.32803017
,,,,,,348000,,,138.32581768,2.7299503937438552e-12,501,14553,348,0.0003,1000.0,3.1519377715972143,14,3.1519377715972143,7122,23463,283,138.3,646200,14.041131,0.0011931204,0.34970954
