eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,216000,,,,,0.0003,8032,2.4837415941678078e-12,16,13375,216,4.449249802056542,89.90258490000001,314,1000.0,89.9,4256,164,4.449249802056542,382200,12.77666,0.0036696102,0.54205215
,,,,220000,,,,,0.0003,8227,2.4902422805405723e-12,16,13672,220,4.827477405542478,92.13424874999998,320,1000.0,92.1,4347,167,4.827477405542478,390200,12.858291,0.0032835251,0.5072897
4.18956328200349,1000.0,116.5443820909091,23,220001,30.117955111281518,12.862324,4.1895633,95.4,,,,,,,,,,,,,,,,,,
,,,,224000,,,,,0.0003,8423,2.4949644886119624e-12,16,13992,224,4.51941445349889,94.53347351000001,326,1000.0,94.5,4437,170,4.51941445349889,398200,13.152185,0.0033001169,0.5498642
,,,,228000,,,,,0.0003,8618,2.465155604180355e-12,15,14290,228,4.379248179229813,96.64222594,331,1000.0,96.6,4529,174,4.379248179229813,406200,13.347252,0.0028419835,0.48733303
4.12508266308875,1000.0,124.734428,23,230001,31.139989251667938,13.515667,4.1250825,101.7,,,,,,,,,,,,,,,,,,
,,,,232000,,,,,0.0003,8813,2.320695490174583e-12,15,14610,232,4.194221556967469,98.83179442000001,337,1000.0,98.8,4620,177,4.194221556967469,414200,13.453488,0.0034884128,0.5560714
,,,,236000,,,,,0.0003,9005,2.5497924659831816e-12,15,14902,236,4.36184544902691,101.23996558000005,343,1000.0,101.2,4708,181,4.36184544902691,422200,13.748512,0.0029384587,0.4983647
,,,,240000,,,,,0.0003,9200,2.2179462255241265e-12,15,15200,240,4.440835672909908,103.74444371999999,349,1000.0,103.7,4801,184,4.440835672909908,430200,13.729172,0.0027405322,0.44543907
4.05717071935562,1000.0,125.38957418181818,22,240001,31.092214770127384,13.518,4.0571704,111.3,,,,,,,,,,,,,,,,,,
,,,,244000,,,,,0.0003,9392,2.301354457236304e-12,15,15515,244,4.808916952290019,105.92612755,355,1000.0,105.9,4890,188,4.808916952290019,438200,13.540707,0.0026961712,0.4470145
,,,,248000,,,,,0.0003,9589,2.5294453377326082e-12,15,15815,248,4.337790602192066,108.04521719999998,361,1000.0,108.0,4982,191,4.337790602192066,446200,13.599043,0.0024287151,0.45808128
4.2438563647460095,1000.0,122.81349099999998,22,250001,30.52516674300041,13.503214,4.2438564,114.8,,,,,,,,,,,,,,,,,,
,,,,252000,,,,,0.0003,9781,2.480235778872183e-12,15,16132,252,4.167602424631305,109.78443486,366,1000.0,109.8,5075,194,4.167602424631305,454200,13.703007,0.003161904,0.5381583
,,,,256000,,,,,0.0003,9979,2.46713906477236e-12,15,16430,256,4.143499737497919,110.95520320000001,372,1000.0,111.0,5163,198,4.143499737497919,462200,13.681377,0.002625887,0.4386579
,,,,260000,,,,,0.0003,10167,2.3574128027269436e-12,15,16716,260,4.266677381100015,112.00585130999998,378,1000.0,112.0,5251,201,4.266677381100015,470200,13.8789215,0.0023833483,0.4421598
4.208873370020125,1000.0,129.16811336363637,24,260001,31.823422612944466,13.975165,4.2088733,117.2,,,,,,,,,,,,,,,,,,
,,,,264000,,,,,0.0003,10358,2.2105191543318468e-12,15,17032,264,4.451761829547189,112.8956406,384,1000.0,112.9,5340,204,4.451761829547189,478200,13.992401,0.0020681436,0.40193874
,,,,268000,,,,,0.0003,10554,2.4762119682711922e-12,15,17328,268,4.404670888780249,114.07507905,389,1000.0,114.1,5430,208,4.404670888780249,486200,14.229278,0.0020818294,0.39468193
4.43052647109281,1000.0,130.53395590909088,22,270001,31.44676995336309,14.370693,4.4305267,119.8,,,,,,,,,,,,,,,,,,
,,,,272000,,,,,0.0003,10745,2.2712728197209134e-12,15,17639,272,4.959145651000715,114.91003277,395,1000.0,114.9,5517,211,4.959145651000715,494200,14.130326,0.0021739572,0.40464705
,,,,276000,,,,,0.0003,10935,2.466201264935596e-12,15,17924,276,4.377295301279324,115.90779777000002,401,1000.0,115.9,5601,214,4.377295301279324,502200,14.216867,0.0017391369,0.38030475
,,,,280000,,,,,0.0003,11127,2.643093068256159e-12,15,18218,280,4.387087777142414,117.01296602999999,407,1000.0,117.0,5692,218,4.387087777142414,510200,14.401899,0.002461456,0.48727864
4.210604182990351,1000.0,129.58620036363638,23,280001,30.465317153117645,14.153158,4.2106037,122.2,,,,,,,,,,,,,,,,,,
,,,,284000,,,,,0.0003,11322,2.4108351318894935e-12,15,18538,284,4.357871264529202,118.02812807999999,413,1000.0,118.0,5782,221,4.357871264529202,518200,14.32073,0.0017923245,0.3638432
,,,,288000,,,,,0.0003,11521,2.656254350961063e-12,15,18839,288,4.690464068732437,118.94024897999999,419,1000.0,118.9,5874,225,4.690464068732437,526200,14.360504,0.0017202011,0.34928817
4.285702024262574,1000.0,128.92921645454547,23,290001,30.33942713456022,14.175021,4.2857018,124.3,,,,,,,,,,,,,,,,,,
,,,,292000,,,,,0.0003,11708,2.4242542397708765e-12,15,19150,292,4.409466954982299,119.79279471,424,1000.0,119.8,5963,228,4.409466954982299,534200,14.271284,0.0018714677,0.39563522
,,,,296000,,,,,0.0003,11905,2.431892241249657e-12,15,19447,296,4.942465148445022,120.78007216,430,1000.0,120.8,6052,231,4.942465148445022,542200,14.294179,0.0015183665,0.369648
,,,,300000,,,,,0.0003,12097,2.4636816857672404e-12,15,19742,300,5.0410346343645065,121.55583751999998,436,1000.0,121.6,6144,235,5.0410346343645065,550200,14.179317,0.0017450147,0.33917487
4.264520749503201,1000.0,129.93417472727273,24,300001,31.055369891544593,14.183456,4.2645206,126.1,,,,,,,,,,,,,,,,,,
,,,,304000,,,,,0.0003,12292,2.5100230829312327e-12,15,20061,304,4.463386659471384,122.25249870000002,442,1000.0,122.3,6234,238,4.463386659471384,558200,14.255719,0.0018206128,0.36431625
