eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,300000,,,,550200,0.0003,429,237,12209,15,300,19778,143.32306929,4.717788421568653,1000.0,16.943804,2.8148647284051664e-12,6055,4.717788421568653,143.3,0.0026484495,0.4365816
165.16419700000003,17.66141,4.374803,1000.0,32.624373438874606,300001,133.9,24,4.374802990176165,,,,,,,,,,,,,,,,,,
,,,,,304000,,,,558200,0.0003,435,241,12402,15,304,20094,143.1779213,4.861162146782658,1000.0,16.844048,2.577962703654245e-12,6144,4.861162146782658,143.2,0.0024150233,0.41388917
,,,,,308000,,,,566200,0.0003,440,244,12592,15,308,20381,143.13717334,5.151272120727594,1000.0,17.556517,2.427146656576545e-12,6230,5.151272120727594,143.1,0.0025993541,0.38479012
154.00787727272728,16.708923,4.5829387,1000.0,33.07884084938299,310001,141.8,23,4.582939467775387,,,,,,,,,,,,,,,,,,
,,,,,312000,,,,574200,0.0003,446,248,12792,15,312,20707,143.02848778999999,4.786622844312966,1000.0,17.20993,2.591549952802477e-12,6320,4.786622844312966,143.0,0.0023240722,0.40248463
,,,,,316000,,,,582200,0.0003,452,251,12989,15,316,21001,142.7628884,5.677460287596295,1000.0,17.093325,2.71144274877308e-12,6408,5.677460287596295,142.8,0.001965902,0.38653573
,,,,,320000,,,,590200,0.0003,458,254,13182,15,320,21296,142.69578593,4.734557188605353,1000.0,16.99439,2.610574084985044e-12,6498,4.734557188605353,142.7,0.0021852385,0.3833896
153.6952559090909,17.477707,5.3879037,1000.0,33.128510154441024,320001,141.2,23,5.387903476768056,,,,,,,,,,,,,,,,,,
,,,,,324000,,,,598200,0.0003,463,258,13380,14,324,21616,143.03674630999996,5.626017646782246,1000.0,17.363012,2.5614218635082896e-12,6585,5.626017646782246,143.0,0.0023716744,0.3948599
,,,,,328000,,,,606200,0.0003,469,261,13581,14,328,21918,143.24087189000002,4.731211355325874,1000.0,17.243391,2.5623778439730855e-12,6676,4.731211355325874,143.2,0.0020256334,0.3420608
159.89819554545454,17.171495,4.500607,1000.0,33.524539956161604,330001,141.3,23,4.500607065794575,,,,,,,,,,,,,,,,,,
,,,,,332000,,,,614200,0.0003,475,265,13775,14,332,22234,143.2741422,4.714662672360295,1000.0,16.97598,2.7560688283009605e-12,6762,4.714662672360295,143.3,0.0020270522,0.39168438
,,,,,336000,,,,622200,0.0003,481,268,13976,14,336,22537,143.24415363,4.781660257069728,1000.0,16.940508,2.6918666383524217e-12,6853,4.781660257069728,143.2,0.0020412286,0.3811219
,,,,,340000,,,,630200,0.0003,487,272,14176,14,340,22838,143.37251156,4.854215401504247,1000.0,17.533558,2.6075661906925575e-12,6943,4.854215401504247,143.4,0.0019231839,0.3790557
152.51996336363638,17.110916,5.149971,1000.0,33.24293362398626,340001,141.2,23,5.149970567754694,,,,,,,,,,,,,,,,,,
,,,,,344000,,,,638200,0.0003,492,275,14373,14,344,23156,143.22953399,4.78964172824217,1000.0,16.981276,2.724913041008769e-12,7030,4.78964172824217,143.2,0.0019508309,0.3227507
,,,,,348000,,,,646200,0.0003,498,279,14571,14,348,23454,143.25250943999998,4.977020114510993,1000.0,17.069374,2.6269527237207553e-12,7118,4.977020114510993,143.3,0.0018878919,0.36080337
156.02934109090907,16.83001,4.5491953,1000.0,33.556755299054316,350001,141.1,24,4.549195500461083,,,,,,,,,,,,,,,,,,
,,,,,352000,,,,654200,0.0003,504,282,14770,14,352,23778,143.14918688999998,4.799941943644996,1000.0,17.076504,2.6077912964551034e-12,7208,4.799941943644996,143.1,0.0016393437,0.3049832
,,,,,356000,,,,662200,0.0003,510,286,14969,14,356,24077,143.04858625999998,5.737739650707139,1000.0,17.2085,2.6615562368612482e-12,7296,5.737739650707139,143.0,0.001775811,0.32979858
,,,,,360000,,,,670200,0.0003,516,289,15170,14,360,24381,143.28579093,4.7923113203177135,1000.0,17.193558,2.6417668365845895e-12,7388,4.7923113203177135,143.3,0.0017731409,0.33098012
156.73816100000002,16.93027,4.548029,1000.0,33.248244824683425,360001,142.3,23,4.548028515414294,,,,,,,,,,,,,,,,,,
,,,,,364000,,,,678200,0.0003,521,293,15367,14,364,24699,143.31162549,4.898016006098853,1000.0,17.010328,2.710459607564887e-12,7475,4.898016006098853,143.3,0.001973801,0.3190291
,,,,,368000,,,,686200,0.0003,527,296,15567,14,368,24999,143.31171634,5.377015911032045,1000.0,17.28021,2.537546052185357e-12,7564,5.377015911032045,143.3,0.0018546757,0.3855671
157.28197563636363,16.935894,4.558354,1000.0,33.845018517809514,370001,143.8,23,4.558353965952332,,,,,,,,,,,,,,,,,,
,,,,,372000,,,,694200,0.0003,533,300,15765,14,372,25322,143.26247784,4.911993236604606,1000.0,17.126923,2.541610898981969e-12,7654,4.911993236604606,143.3,0.0016091047,0.3054222
